State,u_bar,Avg_K
AL,5,290.1
AZ,5,288.7
AR,5,288.8
CA,5,288.2
CO,6,280.3
CT,5.5,282.4
DE,5,285.9
FL,5,294.5
GA,5,290.5
ID,5,279.9
IL,6,284
IN,6,283.9
IA,7,281.8
KA,8,285.4
KY,5.5,286.1
LA,5.5,292.1
ME,5.5,278
MD,5,285.3
MA,5.5,281.8
MI,6,279.9
MN,6,278.1
MS,5,290.4
MO,6,285.5
MT,7,278.9
NE,8,282.3
NV,5,282.9
NH,5.5,279.6
NJ,5,284.5
NM,6,284.9
NY,6,280.4
NC,5,288
ND,8,277.7
OH,6,283.4
OK,7,288.3
OR,5,282.1
PA,5,282.3
RI,5.5,283.1
SC,5,289.9
SD,8,280.3
TE,5,287.2
TX,7,291.2
UT,5,282.2
VT,5.5,279.1
VI,5,285.8
WA,5,282.1
WV,5,284
WI,6,279.2
WY,7,278.6
