"eis","SCC","POLL","ANN_VALUE","STKHGT","STKDIAM","STKTEMP","STKFLOW","STKVEL","NAICS"
5211,30200816,"PM25-PRI",0.108206,24.384,0.4572,316.333333333333,4.71947254421023,NA,311119
6111,50300601,"SO2",0.234216,12.192,2.04216,1046.88888888889,0.165180661225114,NA,221320
18811,30200808,"PM25-PRI",0.00205534,18.288,0.6096,311.333333333333,2.8316846592,NA,311611
39511,10200603,"VOC",0.031664,17.3736,0.67056,505.222222222222,2.8316846592,NA,311812
50511,20101001,"NH3",0.24,19.812,9.144,299.666666666667,5663.3693184,NA,221112
50611,20101001,"VOC",32.425,19.812,9.144,302.444444444444,1334.39977422541,NA,221112
50811,20101001,"NH3",0.000503318,7.9248,3.6576,371.888888888889,79.4759475470902,NA,221112
53211,10200907,"NOX",84,38.1,1.524,380.222222222222,1.88778788501023,NA,221122
75711,10101202,"NOX",175.57,51.816,2.1336,373.555555555556,50.6739399273755,NA,221118
124711,20200202,"PM25-PRI",0.00997988,2.1336,0.09144,477.444444444444,0.092029751424,NA,221210
128911,39999995,"PM25-PRI",1.892e-06,12.8016,0.36576,388.555555555556,1.4158423296,NA,327110
129811,20300702,"SO2",0.0818884,12.192,0.24384,293,0.636183265643827,NA,221320
137211,10300501,"PM25-PRI",0.000120641,45.72,0.762,505.222222222222,0.0759825944603136,NA,622110
137611,31306505,"VOC",0.0240808,8.2296,0.39624,294.111111111111,0.755114021330227,NA,334413
138411,40202501,"VOC",0.00100425,7.62,0.39624,405.222222222222,1.13267386368,NA,313230
138611,30901098,"PM25-PRI",1.464e-06,9.4488,0.6096,294.111111111111,3.539605824,NA,332813
138811,30199998,"PM25-PRI",0.000189,11.5824,1.28016,288.555555555556,9.25016799893023,NA,336370
139011,30188801,"PM25-PRI",1.68,7.62,0.9144,288,5.6633693184,NA,485111
140311,39990023,"NOX",4.4485e-05,16.764,3.62712,1171.88888888889,28.6906289670144,NA,562212
140511,30188801,"VOC",6.99423e-06,25.6032,0.21336,421.888888888889,0.0235964282651136,NA,622110
142311,30599999,"PM25-PRI",0.0240196,13.716,0.54864,324.666666666667,2.8316846592,NA,212324
142811,39990023,"VOC",1.44845,15.24,2.56032,1199.66666666667,16.2349911021851,NA,424710
143111,20300203,"NOX",1.95793,10.3632,0.39624,521.888888888889,2.491882500096,NA,622110
144411,30188801,"PM25-PRI",0.00075,7.9248,0.21336,316.333333333333,0.277975156255027,NA,211112
144611,39990013,"VOC",0.0487509,14.6304,0.64008,616.333333333333,2.92607320394511,NA,332431
145311,31502101,"PM25-PRI",0.00019122,9.144,0.6096,977.444444444444,1.51023087434511,NA,812210
148911,20300201,"NOX",0.0686523,4.4196,0.24384,723.555555555556,2.24646888573711,NA,221112
149611,20100102,"SO2",7.5364e-05,7.0104,0.42672,785.777777777778,2.85339235379743,NA,221320
150711,20300101,"VOC",0.00928697,3.6576,0.21336,716.333333333333,1.22423072376591,NA,221112
154911,10200905,"VOC",0.150613,18.288,1.2192,468.555555555556,9.41912612749072,NA,321113
155011,39000699,"NOX",1.95118,18.288,0.48768,354.111111111111,2.72785527780111,NA,325130
155111,39999999,"NH3",0.30685,36.576,3.048,438.555555555556,83.0627490593051,NA,221112
155511,10200904,"SO2",0.69039,12.192,0.6096,443.555555555556,4.5830816209152,NA,321113
155711,30700808,"PM25-PRI",0.744038,15.24,0.9144,291.333333333333,9.43894792010511,NA,321113
155811,10100902,"SO2",30.1827,30.48,2.1336,434.666666666667,55.6897964098102,NA,221118
160011,10300701,"PM25-PRI",0.15276,7.3152,0.85344,1066.33333333333,3.79492750298143,NA,221320
160111,50100410,"VOC",0.109605,7.3152,0.85344,1185.77777777778,2.42344917693711,NA,221320
160411,50200601,"VOC",0.0485,9.7536,2.4384,1033,16.6059417925403,NA,924110
160611,30500201,"VOC",0.778,6.49224,1.0668,344.666666666667,15.4798742491702,NA,324121
160911,20300101,"VOC",0.0031206,6.096,0.3048,796.888888888889,3.66939042698511,NA,517210
