FIPS,PEC Annual Area,PEC Annual P150,PEC Annual P300,PEC Winter Area,PEC Winter P150,PEC Winter P300,PEC Spring Area,PEC Spring P150,PEC Spring P300,PEC Summer Area,PEC Summer P150,PEC Summer P300,PEC Fall Area,PEC Fall P150,PEC Fall P300,SO2 Annual Area,SO2 Annual P150,SO2 Annual P300,SO2 Winter Area,SO2 Winter P150,SO2 Winter P300,SO2 Spring Area,SO2 Spring P150,SO2 Spring P300,SO2 Summer Area,SO2 Summer P150,SO2 Summer P300,SO2 Fall Area,SO2 Fall P150,SO2 Fall P300,NOX Annual Area,NOX Annual P150,NOX Annual P300,NOX Winter Area,NOX Winter P150,NOX Winter P300,NOX Spring Area,NOX Spring P150,NOX Spring P300,NOX Summer Area,NOX Summer P150,NOX Summer P300,NOX Fall Area,NOX Fall P150,NOX Fall P300,NH3 Annual Area,NH3 Annual P150,NH3 Annual P300,NH3 Winter Area,NH3 Winter P150,NH3 Winter P300,NH3 Spring Area,NH3 Spring P150,NH3 Spring P300,NH3 Summer Area,NH3 Summer P150,NH3 Summer P300,NH3 Fall Area,NH3 Fall P150,NH3 Fall P300
1001,83564.50825,51828.34296,44011.73484,99532.77818,69546.04097,58196.27331,73367.00973,40164.88344,35529.92224,68742.83178,36663.08472,32191.41465,92615.41332,60939.36271,50129.32918,16076.72552,15927.09903,15009.85343,17448.92853,15776.81107,14399.08841,21396.25734,21709.56553,20718.29046,16308.38042,16167.37501,14827.22719,9153.335797,10054.64451,10094.80765,3901.181795,2605.434858,2343.980909,9281.048252,5967.554075,5276.39218,3486.561522,2323.478481,2122.576627,1106.635915,749.1401413,757.0250096,1730.48149,1381.566736,1219.929821,54448.66778,36594.3154,32498.15346,62656.18795,46872.57212,38298.7425,51796.57526,31100.66177,27713.31095,53697.87205,32601.38101,32241.75188,49644.03586,35802.6467,31738.80851
1003,82595.83353,49854.18762,42525.33544,90294.32304,62042.34827,52007.73231,79154.01913,42505.66755,37727.52304,77789.63211,40442.92803,35478.39241,83145.35983,54425.80663,44887.69402,15034.73621,14723.43733,14408.33267,18489.31429,16648.71511,16517.94621,19211.41004,19099.20121,18049.60974,14512.95757,14453.68328,14387.806,7925.262938,8692.149707,8677.968717,3092.628297,2319.266604,2091.306152,6043.431747,4782.337749,4210.113656,4223.949732,2823.152753,2629.380315,1099.883741,814.8290511,768.9157232,1003.24797,856.746863,756.8149151,44514.39325,27762.49843,23968.91357,57535.89397,40087.82778,33234.64961,39037.15185,21817.98129,19494.86082,43208.51227,22811.85406,20319.10215,38276.0149,26332.33058,22827.04171
1005,77549.97783,48415.49169,41385.48448,87896.25929,62003.97369,52472.60842,70166.44435,38826.09603,34571.02673,74039.22598,39228.90484,34461.24871,78097.98168,53602.99221,44037.05405,15082.3597,15560.26111,15274.96937,16233.32384,14688.96985,13228.78674,18614.05461,20877.04069,19877.25917,16511.07662,16762.67347,17835.08265,8970.983737,9912.360451,10158.74892,3460.685876,2387.738219,2202.750104,8221.71364,5214.670102,4646.202231,3080.00815,2281.704785,2124.558294,1139.218832,916.4644651,1071.600571,1401.802881,1138.113523,968.6393198,45205.09608,30486.76935,26955.31953,55712.72469,40913.87735,34224.91907,34523.72453,21103.80941,19126.1485,48830.62304,28750.62495,26655.00731,41753.31208,31178.76569,27815.20321
1007,92812.87829,56404.73326,47630.86553,113978.0242,76371.68357,63157.15263,88160.42071,47260.48078,41423.19793,72099.11397,38862.22815,34317.5333,97013.95427,63124.54052,51625.57824,16542.1017,16589.45275,15916.7912,16922.87691,15133.49786,15775.78819,21527.42169,22803.22511,21486.23777,18612.39294,18286.9269,15964.30401,9105.715266,10134.16114,10440.83484,4111.577843,2794.68987,2518.346556,9392.26616,6124.446849,5422.58823,4153.495229,2898.575786,2622.542824,1346.192707,917.930274,932.1711075,1554.357276,1237.806571,1096.084063,60699.28017,39927.31249,35055.85011,75139.05789,52793.89153,42432.73777,57181.11427,32441.82238,28563.06584,57230.01106,35649.77045,35162.29724,53246.93747,38823.76561,34065.29958
1009,114677.5186,66746.64137,55663.15244,129336.2389,83619.97566,68439.81005,105798.1328,56223.95014,48855.97202,100172.9643,51664.02543,45165.54364,123402.7384,75478.61424,60191.28403,17961.38087,17817.39686,16968.65525,20527.09538,18199.61949,16267.00314,23320.64452,23814.47045,23250.89285,18362.61334,18839.29489,17802.78694,9635.170228,10416.2026,10553.93809,5610.244865,3815.932671,3360.484683,11971.57423,7957.345411,6893.367888,6083.654112,4081.069257,3577.96215,1816.045798,1265.719133,1199.890824,2569.705322,1959.596882,1770.717869,67034.05998,44617.64238,37950.22062,83749.03967,61273.37467,47899.72767,59853.85313,35242.20046,31175.43901,53273.53862,34429.27876,32813.27617,71259.8085,47525.71562,39912.43964
1011,81196.49222,50394.99978,42940.83036,91238.02075,64172.23219,54150.32658,73442.07702,40687.70273,36157.33709,78380.10945,41084.66144,35941.44885,81725.76167,55635.40274,45514.20891,15352.7538,15784.08764,15385.13992,15848.04771,14311.913,12731.95975,19179.25413,21430.9506,20340.91175,17230.10617,17303.9325,18116.31744,9153.607182,10089.55444,10351.37071,3631.117677,2445.05115,2248.722405,8479.681906,5245.690055,4686.98942,3140.821046,2318.200533,2148.149369,1339.413047,939.4850888,1079.777393,1564.554708,1276.828921,1079.973437,51079.08489,32862.54703,29574.61088,58388.16862,42195.01022,35098.95497,38884.0435,23583.31794,21221.86166,63043.88923,33254.81091,33276.38644,44000.23821,32417.04907,28701.24046
1013,70920.46255,45031.39289,38661.07715,83576.29875,59280.25302,50406.70553,61755.70917,34671.54661,31034.72436,65625.4547,35286.10465,31043.69775,72724.38758,50887.66728,42159.18098,14669.1831,15058.787,14798.38572,16376.70804,14759.43598,13164.26149,17571.47723,19367.82396,18753.34569,15681.58371,16022.55378,16927.12446,9046.963402,10085.33429,10348.81126,3441.660224,2271.516495,2082.920619,8239.966753,4992.883041,4460.859,3001.231388,2139.115847,1986.963102,1117.012974,828.2001961,932.5393515,1408.429782,1125.866898,951.3210209,39878.90689,27871.02885,25255.60844,52604.2481,38359.64393,32327.0656,27013.60697,17984.88707,16864.32406,41168.9523,24837.54669,24407.9769,38728.82021,30302.0377,27423.06718
1015,114512.5164,66135.2527,54973.98384,135532.2153,84698.63701,69016.40242,104792.6264,55463.05978,48130.89499,97471.27756,50680.28864,44430.4627,120253.9463,73699.02538,58318.17525,17607.82521,17557.57328,16709.1387,19272.42387,17005.1267,15092.30817,22298.25404,23213.11424,22428.63338,19502.78778,19827.88412,18722.71633,9357.83516,10184.16808,10592.89691,5329.086218,3627.325556,3206.299613,11352.47207,7388.176672,6437.482744,5820.119032,4011.934588,3529.036677,1867.498272,1352.423497,1303.967059,2276.255494,1756.767468,1554.711972,67882.66254,44021.9895,37103.82982,90022.23654,61218.49451,47599.43736,58602.00287,33788.86339,29836.23677,53668.07385,34736.311,32394.77987,69238.33688,46344.28911,38584.86527
1017,94670.62067,56621.353,47616.49458,112435.5429,74075.08625,61309.73541,86105.31348,46463.42298,40832.21376,78788.09992,41301.40669,36169.56434,101353.5264,64645.49607,52154.4648,16142.6002,16199.71935,15199.61111,16958.67658,15239.34743,13541.08316,20962.16247,22285.77833,21097.31151,17611.23557,17490.14614,16253.80805,9038.326168,9783.605494,9906.241724,4044.029541,2807.396507,2524.317125,9330.201073,6058.722005,5357.11677,3769.778268,2714.815449,2457.166866,1156.669957,897.0184994,924.6218767,1919.468867,1559.030076,1358.362986,62209.55278,40123.01399,34182.02914,73801.06107,51277.77913,41126.56464,60944.50779,34412.33612,29958.18481,59076.72409,37669.90805,33760.88399,55015.91818,37132.03268,31882.48313
1019,115596.6589,67227.74148,55815.16356,135533.8796,86057.60276,70198.37228,106447.3934,56700.77246,49226.03764,95127.21274,49678.45408,43534.99221,125278.15,76474.13663,60301.25212,18755.56722,18451.96616,17322.77473,20620.11248,18170.93657,16016.66935,23968.78938,24278.96813,23432.49221,20225.33458,20396.86244,18803.00354,10208.03244,10961.09751,11038.93382,5862.278587,4070.297606,3578.031476,12134.02758,8288.53536,7167.618432,6479.65973,4395.193075,3830.500884,2030.431824,1403.413972,1320.650284,2804.995212,2194.048018,1993.356305,72105.02496,47595.7874,40317.39661,89790.25301,64543.44924,50336.67499,68018.28148,39491.42929,34619.20254,56689.8615,36812.03835,35293.58521,73921.70385,49536.23273,41020.1237
1021,90271.93071,55034.27347,46538.14634,106713.4413,72673.41508,60442.06398,87228.33758,46878.42068,41119.97723,72243.24408,38523.57699,33842.65278,94902.69988,62061.68112,50747.89135,16646.89571,16726.58128,15899.15367,17216.75865,15472.98466,15328.71742,22374.64505,23832.05137,22349.55583,17857.23371,17519.56735,15656.22936,9138.945432,10081.72175,10262.11209,4005.271781,2770.688927,2497.847207,9095.331676,6055.007411,5358.928783,4096.964258,2891.074102,2619.654425,1212.71049,839.5391081,860.6393752,1616.0807,1297.135085,1152.166243,60929.24066,39918.06169,35001.0004,69814.13574,50403.55732,40907.58744,60598.45513,34096.93802,29782.97187,61225.55701,37545.54609,36261.24886,52078.81475,37626.20532,33052.19344
1023,61692.74031,41205.49952,35988.76931,75981.1211,57004.22882,48933.57258,53508.733,31009.03055,28073.2848,48093.11415,27545.85342,24646.91575,69187.993,49262.88527,42301.3041,14769.36555,14977.22056,14316.46312,16863.04166,15343.0578,14857.71479,18224.18742,19401.95187,18473.19547,15154.2396,15120.84476,13699.55062,8835.993526,10043.02783,10235.39161,3177.630036,2206.040588,2012.135568,7743.431718,5313.912391,4736.792105,2702.216707,1879.964219,1747.358442,1025.720015,613.5760175,690.9681836,1239.151703,1016.709725,873.4235417,38598.21433,27993.88984,26874.96391,47985.30119,38238.91393,32953.8581,30864.97553,21539.62702,20225.60601,39919.81523,22929.40398,26600.13465,35622.76536,29267.61444,27720.25686
