FIPS,PEC Annual Area,PEC Annual P150,PEC Annual P300,PEC Winter Area,PEC Winter P150,PEC Winter P300,PEC Spring Area,PEC Spring P150,PEC Spring P300,PEC Summer Area,PEC Summer P150,PEC Summer P300,PEC Fall Area,PEC Fall P150,PEC Fall P300,SO2 Annual Area,SO2 Annual P150,SO2 Annual P300,SO2 Winter Area,SO2 Winter P150,SO2 Winter P300,SO2 Spring Area,SO2 Spring P150,SO2 Spring P300,SO2 Summer Area,SO2 Summer P150,SO2 Summer P300,SO2 Fall Area,SO2 Fall P150,SO2 Fall P300,NOX Annual Area,NOX Annual P150,NOX Annual P300,NOX Winter Area,NOX Winter P150,NOX Winter P300,NOX Spring Area,NOX Spring P150,NOX Spring P300,NOX Summer Area,NOX Summer P150,NOX Summer P300,NOX Fall Area,NOX Fall P150,NOX Fall P300,NH3 Annual Area,NH3 Annual P150,NH3 Annual P300,NH3 Winter Area,NH3 Winter P150,NH3 Winter P300,NH3 Spring Area,NH3 Spring P150,NH3 Spring P300,NH3 Summer Area,NH3 Summer P150,NH3 Summer P300,NH3 Fall Area,NH3 Fall P150,NH3 Fall P300
1001,1.002927255,1.005039903,1.00551586,1.004061344,1.006296515,1.006927851,1.001482652,1.003009072,1.003343363,1.001617619,1.002588738,1.002712297,1.003509811,1.006030435,1.006672565,1.008622815,1.00811869,1.009692836,1.01640349,1.017351555,1.016632358,1.004663077,1.003680057,1.007519396,1.004342447,1.002386118,1.004783,1.006137684,1.005847017,1.008091906,1.004318399,1.006907849,1.007113952,1.007048819,1.012188993,1.012175936,1.001652167,1.000535314,1.000627981,1.003447722,0.99378845,0.999697058,0.993134888,0.991393813,0.993001826,1.001094286,1.006034359,1.007787731,1.001574623,1.007184017,1.008480203,1.000337151,1.003976914,1.005785249,1.000951815,1.003039052,1.003942214,1.001322204,1.008698639,1.011923222
1003,1.00321642,1.005484079,1.005991675,1.00446725,1.007044705,1.007731197,1.002092086,1.003169884,1.00350626,1.001764566,1.00282565,1.002974247,1.003960706,1.0069432,1.007656215,1.010264078,1.010203756,1.010407088,1.018182929,1.019162268,1.018022283,1.005725736,1.004491772,1.005203813,1.005519954,1.005303322,1.006185574,1.006598297,1.005908254,1.009130223,1.004766975,1.007420305,1.007480895,1.008458576,1.013596229,1.013533407,1.001933907,1.000992673,1.001134371,1.002738919,0.995318422,0.99971693,0.992127197,0.991102572,0.992088842,1.001487735,1.007129854,1.008345027,1.001887603,1.007873147,1.00926008,1.001073959,1.005465036,1.005630343,1.00168925,1.004859637,1.005885644,1.001250712,1.009709663,1.011610479
1005,1.002937205,1.005100257,1.005596719,1.004120762,1.006514764,1.007164998,1.001891258,1.003083004,1.003419907,1.00169083,1.002733744,1.002867881,1.003473636,1.006285928,1.006994425,1.009196943,1.009110023,1.009049701,1.016903077,1.017783494,1.016618348,1.005556981,1.004451721,1.006282719,1.00566933,1.006370025,1.005415185,1.006436867,1.006872281,1.00820705,1.004656877,1.006833663,1.007059742,1.007252322,1.012643213,1.012593429,1.002701214,1.001269797,1.00114655,1.003099654,0.991211142,1.000218369,0.992964683,0.992234936,0.992830794,1.001137693,1.006346058,1.008674017,1.001639076,1.0072987,1.00863171,1.000794442,1.004679913,1.007300674,1.000899783,1.003512388,1.004511677,1.000939186,1.008714819,1.01325064
1007,1.003013187,1.004959134,1.005413365,1.004063642,1.006167991,1.006785236,1.001920748,1.003188276,1.003509907,1.001647725,1.002654814,1.002783795,1.003468451,1.005873596,1.006495664,1.008258551,1.007899461,1.009495443,1.015905804,1.016954326,1.017493427,1.005100954,1.004082333,1.00605128,1.004152973,1.001507471,1.005018503,1.006238718,1.00741523,1.007845473,1.004104053,1.006689758,1.0067126,1.006505945,1.011920379,1.011916944,1.002258897,1.000996575,1.00096629,1.003164554,0.994800764,0.999622328,0.993266876,0.993414003,0.993030398,1.001159348,1.005862089,1.007926828,1.001624558,1.007119655,1.008359942,1.00078944,1.004335276,1.006659334,1.001107028,1.002937478,1.003778633,1.000862398,1.007942967,1.012238833
1009,1.003148133,1.00476242,1.005168969,1.003943605,1.005825312,1.00642766,1.002609504,1.003394491,1.003695436,1.001956874,1.00312296,1.003269884,1.003570801,1.005531131,1.006056418,1.007986025,1.00734286,1.008393235,1.014640681,1.0154708,1.015669345,1.004698487,1.003738542,1.006195187,1.003827164,1.001888718,1.003064974,1.006005019,1.005978141,1.007670156,1.003706759,1.005733649,1.0060625,1.006270467,1.011049838,1.011143418,1.001919869,1.000879599,1.00095178,1.002716671,0.995590864,1.000109633,0.993774474,0.991654538,0.993498025,1.001578529,1.006188287,1.00783562,1.001515726,1.006945456,1.00816806,1.000683594,1.004142738,1.0057183,1.000749499,1.002719952,1.003651849,1.002954231,1.008913941,1.011941305
1011,1.002954373,1.005044201,1.005528847,1.004105421,1.006452493,1.007093295,1.002022037,1.003098776,1.003430595,1.00172117,1.002772359,1.002905224,1.003450266,1.006170342,1.006860213,1.008989413,1.008826944,1.008892332,1.016770333,1.017600032,1.016444885,1.005381456,1.004310358,1.006219926,1.005573998,1.006054257,1.005527418,1.006369176,1.007003082,1.008064348,1.004497018,1.006585688,1.006835915,1.007076948,1.012505479,1.012453046,1.00264572,1.001218807,1.001096057,1.003740302,0.991075865,1.000330418,0.993174375,0.992671982,0.992950088,1.001167111,1.006175818,1.008427477,1.001641889,1.007249136,1.008558011,1.000790173,1.004657958,1.007423301,1.001110825,1.003515332,1.004608387,1.000863739,1.008515218,1.013003223
1013,1.002903097,1.005158594,1.005671291,1.004158932,1.006631346,1.007284142,1.001704639,1.002967847,1.003310117,1.001564637,1.002545457,1.002665908,1.003407852,1.006309326,1.007041518,1.009350674,1.00911694,1.008826994,1.017145868,1.018104216,1.016785872,1.005364392,1.00427837,1.005418308,1.005358628,1.005807818,1.004909754,1.006480432,1.006616492,1.008223807,1.004784279,1.006955122,1.007234381,1.007567423,1.012774608,1.012713784,1.002253555,1.000955577,1.00093187,1.003347109,0.992075376,0.999980056,0.99280066,0.991343726,0.992771142,1.001061716,1.006239884,1.008645419,1.001650146,1.007383549,1.008740272,1.000673863,1.003959018,1.006153559,1.000791563,1.003220434,1.004201284,1.000709246,1.008468554,1.013455659
1015,1.003202585,1.004813233,1.005220318,1.004009437,1.005868014,1.006472583,1.002649259,1.003429092,1.003726964,1.001954861,1.003135798,1.00328219,1.003613086,1.005596221,1.006127009,1.0079584,1.007372821,1.008032762,1.014632929,1.015335925,1.015416878,1.004927525,1.003936271,1.005460501,1.004157024,1.002400817,1.003774642,1.00623145,1.00733401,1.007612957,1.003692322,1.00579576,1.00599631,1.006083831,1.01116711,1.011244035,1.002267768,1.001108489,1.001104156,1.002485662,0.99571916,1.000139784,0.993832429,0.993146881,0.993429439,1.001612296,1.006179115,1.008146439,1.001613095,1.007038562,1.008249068,1.000901718,1.004374853,1.006247366,1.000952977,1.002946402,1.003847694,1.002688987,1.008645859,1.012724607
1017,1.003135841,1.00497955,1.00542449,1.004060106,1.006122951,1.006748938,1.002308691,1.003329193,1.003646463,1.001815894,1.002909357,1.003044418,1.003634847,1.005923346,1.006515413,1.008263144,1.00767031,1.009080572,1.015675832,1.016378455,1.015808423,1.004946078,1.00393278,1.007184949,1.00456713,1.002833283,1.004952808,1.00610643,1.006362414,1.007920731,1.003926027,1.006363422,1.006521309,1.006410825,1.011877318,1.011884374,1.002460633,1.001102994,1.001025996,1.002710741,0.993591781,1.000018858,0.99351519,0.992553457,0.993135648,1.001306766,1.006153532,1.007941697,1.001646563,1.007151221,1.008403236,1.000698913,1.004650951,1.007173383,1.000977977,1.003205643,1.004075161,1.001831803,1.008945328,1.011839694
1019,1.003164596,1.00472359,1.005125382,1.003923199,1.00573796,1.006333292,1.002681436,1.003424677,1.003722858,1.001903827,1.003051926,1.003192346,1.003550377,1.005456635,1.005973432,1.007735006,1.007038135,1.008252151,1.014259953,1.014927493,1.015261342,1.004660584,1.003708247,1.00610688,1.003971663,1.00182048,1.003737108,1.005929894,1.006440852,1.007461105,1.00346453,1.005513625,1.005722478,1.005915095,1.010809617,1.010918195,1.002053679,1.000979314,1.001022204,1.002652219,0.995850613,1.000196274,0.994146105,0.993062428,0.993699499,1.001510791,1.005986017,1.007555979,1.001538566,1.006857702,1.008047244,1.000734377,1.004089777,1.00560897,1.000955886,1.002769942,1.003645449,1.002624179,1.008543681,1.011543811
