"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	Suppressed	626	Suppressed
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	14	2200	636.4 (Unreliable)
	"Barbour County, AL"	"01005"	"< 1 year"	"1"	Suppressed	334	Suppressed
	"Bibb County, AL"	"01007"	"< 1 year"	"1"	Suppressed	259	Suppressed
	"Blount County, AL"	"01009"	"< 1 year"	"1"	Suppressed	740	Suppressed
	"Bullock County, AL"	"01011"	"< 1 year"	"1"	Suppressed	163	Suppressed
	"Butler County, AL"	"01013"	"< 1 year"	"1"	Suppressed	275	Suppressed
	"Calhoun County, AL"	"01015"	"< 1 year"	"1"	Suppressed	1383	Suppressed
	"Chambers County, AL"	"01017"	"< 1 year"	"1"	Suppressed	394	Suppressed
	"Cherokee County, AL"	"01019"	"< 1 year"	"1"	Suppressed	220	Suppressed
	"Chilton County, AL"	"01021"	"< 1 year"	"1"	Suppressed	559	Suppressed
	"Choctaw County, AL"	"01023"	"< 1 year"	"1"	Suppressed	114	Suppressed
	"Clarke County, AL"	"01025"	"< 1 year"	"1"	Suppressed	255	Suppressed
	"Clay County, AL"	"01027"	"< 1 year"	"1"	Suppressed	148	Suppressed
	"Cleburne County, AL"	"01029"	"< 1 year"	"1"	Suppressed	181	Suppressed
	"Coffee County, AL"	"01031"	"< 1 year"	"1"	Suppressed	681	Suppressed
	"Colbert County, AL"	"01033"	"< 1 year"	"1"	Suppressed	599	Suppressed
	"Conecuh County, AL"	"01035"	"< 1 year"	"1"	Suppressed	158	Suppressed
	"Coosa County, AL"	"01037"	"< 1 year"	"1"	Suppressed	94	Suppressed
	"Covington County, AL"	"01039"	"< 1 year"	"1"	Suppressed	455	Suppressed
	"Crenshaw County, AL"	"01041"	"< 1 year"	"1"	Suppressed	163	Suppressed
	"Cullman County, AL"	"01043"	"< 1 year"	"1"	Suppressed	994	Suppressed
	"Dale County, AL"	"01045"	"< 1 year"	"1"	Suppressed	696	Suppressed
