"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"< 1 year"	"1"	7417	1310790	565.8
	"Large Central Metro"	"1"	"1-4 years"	"1-4"	1118	5139151	21.8
	"Large Central Metro"	"1"	"5-9 years"	"5-9"	695	6283959	11.1
	"Large Central Metro"	"1"	"10-14 years"	"10-14"	826	6144079	13.4
	"Large Central Metro"	"1"	"15-19 years"	"15-19"	2707	6215006	43.6
	"Large Central Metro"	"1"	"20-24 years"	"20-24"	5635	7135311	79.0
	"Large Central Metro"	"1"	"25-29 years"	"25-29"	6657	8031727	82.9
	"Large Central Metro"	"1"	"30-34 years"	"30-34"	7375	7577504	97.3
	"Large Central Metro"	"1"	"35-39 years"	"35-39"	8631	6702834	128.8
	"Large Central Metro"	"1"	"40-44 years"	"40-44"	12172	6649697	183.0
	"Large Central Metro"	"1"	"45-49 years"	"45-49"	18688	6458111	289.4
	"Large Central Metro"	"1"	"50-54 years"	"50-54"	30600	6663751	459.2
	"Large Central Metro"	"1"	"55-59 years"	"55-59"	43155	6186062	697.6
	"Large Central Metro"	"1"	"60-64 years "	"60-64"	51377	5183897	991.1
	"Large Central Metro"	"1"	"65-69 years"	"65-69"	56563	4082360	1385.5
	"Large Central Metro"	"1"	"70-74 years"	"70-74"	60223	2854606	2109.7
	"Large Central Metro"	"1"	"75-79 years"	"75-79"	68813	2071660	3321.6
	"Large Central Metro"	"1"	"80-84 years"	"80-84"	84556	1533322	5514.6
	"Large Central Metro"	"1"	"85-89 years"	"85-89"	97204	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"90-94 years"	"90-94"	78894	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"95-99 years"	"95-99"	31242	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"100+ years"	"100+"	7392	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Not Stated"	"NS"	57	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"< 1 year"	"1"	4854	917907	528.8
	"Large Fringe Metro"	"2"	"1-4 years"	"1-4"	769	3815992	20.2
	"Large Fringe Metro"	"2"	"5-9 years"	"5-9"	488	5176704	9.4
	"Large Fringe Metro"	"2"	"10-14 years"	"10-14"	632	5422122	11.7
	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	2045	5314989	38.5
	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	4434	5085825	87.2
	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	4957	4889250	101.4
	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	5491	5088166	107.9
	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	6187	4997687	123.8
	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	8998	5404578	166.5
	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	14088	5621293	250.6
	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	24343	6003144	405.5
	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	34122	5540669	615.8
	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	41366	4606066	898.1
	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	49792	3777465	1318.1
	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	55851	2679272	2084.6
	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	63364	1862280	3402.5
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	79542	1365757	5824.0
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	91388	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	73163	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	28681	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	6062	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"Not Stated"	"NS"	32	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"< 1 year"	"1"	5190	831794	624.0
	"Medium Metro"	"3"	"1-4 years"	"1-4"	844	3358826	25.1
	"Medium Metro"	"3"	"5-9 years"	"5-9"	498	4341105	11.5
	"Medium Metro"	"3"	"10-14 years"	"10-14"	605	4364944	13.9
	"Medium Metro"	"3"	"15-19 years"	"15-19"	2086	4522596	46.1
	"Medium Metro"	"3"	"20-24 years"	"20-24"	4213	5073338	83.0
