"Notes"	"Census Region"	"Census Region Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"	"85+ years"	"85+"	43934	353690	12421.6
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Large Central Metro"	"1"			43934	353690	12421.6
	"Census Region 1: Northeast"	"CENS-R1"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	65846	491120	13407.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Large Fringe Metro"	"2"			65846	491120	13407.3
	"Census Region 1: Northeast"	"CENS-R1"	"Medium Metro"	"3"	"85+ years"	"85+"	36412	263153	13836.8
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Medium Metro"	"3"			36412	263153	13836.8
	"Census Region 1: Northeast"	"CENS-R1"	"Small Metro"	"4"	"85+ years"	"85+"	11152	79508	14026.3
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Small Metro"	"4"			11152	79508	14026.3
	"Census Region 1: Northeast"	"CENS-R1"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	11859	81372	14573.8
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Micropolitan (non-metro)"	"5"			11859	81372	14573.8
	"Census Region 1: Northeast"	"CENS-R1"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	5187	35519	14603.5
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"NonCore (non-metro)"	"6"			5187	35519	14603.5
"Total"	"Census Region 1: Northeast"	"CENS-R1"					174390	1304362	13369.8
	"Census Region 2: Midwest"	"CENS-R2"	"Large Central Metro"	"1"	"85+ years"	"85+"	41277	304933	13536.4
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Large Central Metro"	"1"			41277	304933	13536.4
	"Census Region 2: Midwest"	"CENS-R2"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	45353	319754	14183.7
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Large Fringe Metro"	"2"			45353	319754	14183.7
	"Census Region 2: Midwest"	"CENS-R2"	"Medium Metro"	"3"	"85+ years"	"85+"	33644	232740	14455.6
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Medium Metro"	"3"			33644	232740	14455.6
	"Census Region 2: Midwest"	"CENS-R2"	"Small Metro"	"4"	"85+ years"	"85+"	25915	183246	14142.2
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Small Metro"	"4"			25915	183246	14142.2
	"Census Region 2: Midwest"	"CENS-R2"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	31037	215226	14420.7
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Micropolitan (non-metro)"	"5"			31037	215226	14420.7
	"Census Region 2: Midwest"	"CENS-R2"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	26025	181300	14354.7
