"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"< 1 year"	"1"	94	8754	1073.8
	"Alabama"	"01"	"Large Central Metro"	"1"	"1-4 years"	"1-4"	11	34744	Unreliable
	"Alabama"	"01"	"Large Central Metro"	"1"	"15-19 years"	"15-19"	26	41026	63.4
	"Alabama"	"01"	"Large Central Metro"	"1"	"20-24 years"	"20-24"	55	44506	123.6
	"Alabama"	"01"	"Large Central Metro"	"1"	"25-29 years"	"25-29"	72	48472	148.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"30-34 years"	"30-34"	103	46597	221.0
	"Alabama"	"01"	"Large Central Metro"	"1"	"35-39 years"	"35-39"	126	42097	299.3
	"Alabama"	"01"	"Large Central Metro"	"1"	"40-44 years"	"40-44"	137	41809	327.7
	"Alabama"	"01"	"Large Central Metro"	"1"	"45-49 years"	"45-49"	190	40682	467.0
	"Alabama"	"01"	"Large Central Metro"	"1"	"50-54 years"	"50-54"	334	45859	728.3
	"Alabama"	"01"	"Large Central Metro"	"1"	"55-59 years"	"55-59"	502	46521	1079.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"60-64 years "	"60-64"	648	40806	1588.0
	"Alabama"	"01"	"Large Central Metro"	"1"	"65-69 years"	"65-69"	609	30989	1965.2
	"Alabama"	"01"	"Large Central Metro"	"1"	"70-74 years"	"70-74"	615	21593	2848.1
	"Alabama"	"01"	"Large Central Metro"	"1"	"75-79 years"	"75-79"	664	15868	4184.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"80-84 years"	"80-84"	834	12244	6811.5
	"Alabama"	"01"	"Large Central Metro"	"1"	"85-89 years"	"85-89"	932	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"90-94 years"	"90-94"	696	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"95-99 years"	"95-99"	228	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Central Metro"	"1"	"100+ years"	"100+"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"< 1 year"	"1"	38	5709	665.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"15-19 years"	"15-19"	13	30660	Unreliable
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"20-24 years"	"20-24"	41	28575	143.5
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"25-29 years"	"25-29"	41	29085	141.0
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"30-34 years"	"30-34"	68	31616	215.1
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"35-39 years"	"35-39"	69	31851	216.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"40-44 years"	"40-44"	113	34389	328.6
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"45-49 years"	"45-49"	150	33477	448.1
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"50-54 years"	"50-54"	229	35079	652.8
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"55-59 years"	"55-59"	302	33099	912.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"60-64 years "	"60-64"	353	29366	1202.1
