"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Large Central Metro"	"1"	"85+ years"	"85+"	1912	12037	15884.4
"Total"	"Alabama"	"01"	"Large Central Metro"	"1"			1912	12037	15884.4
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	827	5263	15713.5
"Total"	"Alabama"	"01"	"Large Fringe Metro"	"2"			827	5263	15713.5
	"Alabama"	"01"	"Medium Metro"	"3"	"85+ years"	"85+"	2720	16815	16176.0
"Total"	"Alabama"	"01"	"Medium Metro"	"3"			2720	16815	16176.0
	"Alabama"	"01"	"Small Metro"	"4"	"85+ years"	"85+"	3049	18334	16630.3
"Total"	"Alabama"	"01"	"Small Metro"	"4"			3049	18334	16630.3
	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1423	8281	17183.9
"Total"	"Alabama"	"01"	"Micropolitan (non-metro)"	"5"			1423	8281	17183.9
	"Alabama"	"01"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2013	11864	16967.3
"Total"	"Alabama"	"01"	"NonCore (non-metro)"	"6"			2013	11864	16967.3
"Total"	"Alabama"	"01"					11944	72594	16453.2
	"Alaska"	"02"	"Medium Metro"	"3"	"85+ years"	"85+"	271	2272	11927.8
"Total"	"Alaska"	"02"	"Medium Metro"	"3"			271	2272	11927.8
	"Alaska"	"02"	"Small Metro"	"4"	"85+ years"	"85+"	58	465	12473.1
"Total"	"Alaska"	"02"	"Small Metro"	"4"			58	465	12473.1
	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	55	376	14627.7
"Total"	"Alaska"	"02"	"Micropolitan (non-metro)"	"5"			55	376	14627.7
	"Alaska"	"02"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	160	1172	13651.9
"Total"	"Alaska"	"02"	"NonCore (non-metro)"	"6"			160	1172	13651.9
"Total"	"Alaska"	"02"					544	4285	12695.4
	"Arizona"	"04"	"Large Central Metro"	"1"	"85+ years"	"85+"	7351	54501	13487.8
"Total"	"Arizona"	"04"	"Large Central Metro"	"1"			7351	54501	13487.8
	"Arizona"	"04"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	374	3236	11557.5
"Total"	"Arizona"	"04"	"Large Fringe Metro"	"2"			374	3236	11557.5
	"Arizona"	"04"	"Medium Metro"	"3"	"85+ years"	"85+"	2413	18452	13077.2
"Total"	"Arizona"	"04"	"Medium Metro"	"3"			2413	18452	13077.2
	"Arizona"	"04"	"Small Metro"	"4"	"85+ years"	"85+"	1951	14308	13635.7
"Total"	"Arizona"	"04"	"Small Metro"	"4"			1951	14308	13635.7
	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	481	3221	14933.3
"Total"	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"			481	3221	14933.3
	"Arizona"	"04"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	140	1113	12578.6
"Total"	"Arizona"	"04"	"NonCore (non-metro)"	"6"			140	1113	12578.6
"Total"	"Arizona"	"04"					12710	94831	13402.8
	"Arkansas"	"05"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	106	575	18434.8
"Total"	"Arkansas"	"05"	"Large Fringe Metro"	"2"			106	575	18434.8
	"Arkansas"	"05"	"Medium Metro"	"3"	"85+ years"	"85+"	2809	18984	14796.7
"Total"	"Arkansas"	"05"	"Medium Metro"	"3"			2809	18984	14796.7
	"Arkansas"	"05"	"Small Metro"	"4"	"85+ years"	"85+"	1081	6920	15621.4
"Total"	"Arkansas"	"05"	"Small Metro"	"4"			1081	6920	15621.4
	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"	"85+ years"	"85+"	1747	10902	16024.6
"Total"	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"			1747	10902	16024.6
	"Arkansas"	"05"	"NonCore (non-metro)"	"6"	"85+ years"	"85+"	2043	12671	16123.4
"Total"	"Arkansas"	"05"	"NonCore (non-metro)"	"6"			2043	12671	16123.4
"Total"	"Arkansas"	"05"					7786	50052	15555.8
	"California"	"06"	"Large Central Metro"	"1"	"85+ years"	"85+"	44784	353484	12669.3
"Total"	"California"	"06"	"Large Central Metro"	"1"			44784	353484	12669.3
	"California"	"06"	"Large Fringe Metro"	"2"	"85+ years"	"85+"	9150	71277	12837.2
"Total"	"California"	"06"	"Large Fringe Metro"	"2"			9150	71277	12837.2
	"California"	"06"	"Medium Metro"	"3"	"85+ years"	"85+"	13460	99204	13568.0
"Total"	"California"	"06"	"Medium Metro"	"3"			13460	99204	13568.0
