eis,FIPS,eff_height,ap3.assignment,easiur.assignment
208411,5107,35.35329776,Low,Area
209711,5115,38.81890478,Low,Area
210011,5115,82.52150755,Low,Med 150
210811,5119,242.7186523,Low,Tall 300
210911,5119,54.6338794,Low,Area
212211,5121,179.4726911,Low,Med 150
237311,5077,104.0122383,Low,Med 150
237511,5079,78.14802102,Low,Med 150
237711,5083,126.9943501,Low,Med 150
238311,5087,38.81890478,Low,Area
238511,5093,109.447972,Low,Med 150
262411,5131,42.85209394,Low,Area
265811,6013,83.61147074,Low,Med 150
353611,6013,322.5519995,Medium,Tall 300
409111,6027,81.92753209,Low,Med 150
503211,6029,39.65839622,Low,Area
532511,13003,197.1690308,Low,Med 150
532711,13089,38.37505516,Low,Area
532811,13089,58.35836311,Low,Area
532911,12127,42.84187148,Low,Area
533011,12035,84.4228241,Low,Med 150
533111,12007,80.20716232,Low,Med 150
533411,9001,16.77493743,Low,Area
533611,12099,253.9211797,Medium,Tall 300
533711,12081,48.78159884,Low,Area
533811,12083,23.58315965,Low,Area
534011,10003,53.46799805,Low,Area
534111,12103,92.60605721,Low,Med 150
534211,13059,160.9464943,Low,Med 150
534711,13285,56.5933767,Low,Area
534911,13063,35.41742123,Low,Area
535011,12001,366.8964423,Medium,Tall 300
535211,12105,90.76379701,Low,Med 150
535411,12005,270.2269518,Medium,Tall 300
535511,12105,55.70522007,Low,Area
535711,12105,168.6970087,Low,Med 150
535811,13245,98.44514851,Low,Med 150
535911,13293,223.3338588,Low,Med 150
536011,13089,123.4986543,Low,Med 150
536111,13121,159.4639421,Low,Med 150
536211,13065,91.92473669,Low,Med 150
536311,13103,274.0783106,Medium,Tall 300
536411,13063,0,Low,Area
536511,13063,63.16692242,Low,Area
536711,12105,21.96404581,Low,Area
536811,12001,269.2484964,Medium,Tall 300
536911,12005,100.0099417,Low,Med 150
537011,12011,22.46571084,Low,Area
537211,12105,109.526858,Low,Med 150
537311,10003,79.21350803,Low,Med 150
537411,12011,73.04242267,Low,Area
537611,12011,218.318929,Low,Med 150
537811,12081,70.14497089,Low,Area
537911,12081,560.1703201,Medium,Tall 300
538111,12081,71.73977233,Low,Area
538511,12057,57.98673732,Low,Area
538611,12057,379.4271122,Medium,Tall 300
538711,12011,91.10445698,Low,Med 150
538811,13189,44.63749804,Low,Area
538911,13215,118.1805971,Low,Med 150
539311,13115,298.8140173,Medium,Tall 300
539411,13115,66.64131875,Low,Area
539711,2122,0,Low,Area
539811,2122,0,Low,Area
539911,2122,0,Low,Area
540111,2122,0,Low,Area
540511,2130,0,Low,Area
541311,2185,0,Low,Area
541411,2185,0,Low,Area
541511,2185,0,Low,Area
541611,2185,0,Low,Area
541711,2185,0,Low,Area
542511,2188,0,Low,Area
542611,2188,0,Low,Area
545311,4013,52.9384293,Low,Area
545911,4013,308.5701039,Medium,Tall 300
546011,4013,299.7574907,Medium,Tall 300
547311,4013,216.2082801,Low,Med 150
552011,12105,282.2640387,Medium,Tall 300
552111,12009,39.286498,Low,Area
552311,9003,89.85586625,Low,Med 150
552411,9001,119.94923,Low,Med 150
552611,9011,520.5785713,Medium,Tall 300
552711,9011,189.5301469,Low,Med 150
552811,12069,169.099307,Low,Med 150
552911,13015,147.3231887,Low,Med 150
553111,13179,176.2177457,Low,Med 150
553211,13179,105.5457987,Low,Med 150
553311,13015,165.4479565,Low,Med 150
553411,13199,163.0814583,Low,Med 150
553611,13139,61.15572392,Low,Area
553711,12105,136.0032135,Low,Med 150
554011,12087,172.101567,Low,Med 150
554311,13245,0,Low,Area
554411,13127,156.0570866,Low,Med 150
554511,13067,76.96875686,Low,Med 150
554611,13151,86.479936,Low,Med 150
554711,13115,49.72003169,Low,Area
554911,12005,379.4786276,Medium,Tall 300
555111,12057,119.2378001,Low,Med 150
555211,12105,31.50832835,Low,Area
555311,13185,307.7929481,Medium,Tall 300
555411,12099,46.60205523,Low,Area
555511,9009,16.10506656,Low,Area
555711,9009,67.68363689,Low,Area
555811,13021,90.30094825,Low,Med 150
556111,13275,44.78491466,Low,Area
556211,13245,152.8346182,Low,Med 150
556311,13313,58.02771827,Low,Area
556511,13313,76.15837288,Low,Med 150
556611,13305,372.0222048,Medium,Tall 300
556711,13185,45.74573079,Low,Area
557011,13127,102.958157,Low,Med 150
557211,13313,86.77059388,Low,Med 150
557411,13233,47.41080741,Low,Area
557511,13073,75.96586181,Low,Med 150
557611,12057,24.7798035,Low,Area
557811,12031,525.4143617,Medium,Tall 300
557911,12031,181.8402706,Low,Med 150
558011,12031,76.48530405,Low,Med 150
558111,12031,55.48236741,Low,Area
558211,12009,0,Low,Area
558411,12097,240.206198,Low,Tall 300
558511,12057,15.84505729,Low,Area
558611,12083,53.47427101,Low,Area
558711,12057,61.16768968,Low,Area
559211,16011,94.95631247,Low,Med 150
559811,16077,188.2935492,Low,Med 150
559911,15009,0,Low,Area
560011,1001,293.6747297,Medium,Tall 300
560311,1003,40.74794244,Low,Area
560711,1003,32.9536251,Low,Area
561611,1005,141.3577274,Low,Med 150
561711,1005,13.22536926,Low,Area
562111,1005,119.8447472,Low,Med 150
562411,1007,31.91178893,Low,Area
565311,41019,96.56054235,Low,Med 150
566611,41021,158.9282723,Low,Med 150
587911,9005,41.36982453,Low,Area
588111,10001,271.7075801,Medium,Tall 300
588311,10003,404.9141645,Medium,Tall 300
588511,12049,539.2588517,Medium,Tall 300
588611,12011,12.92641267,Low,Area
588711,9003,201.8170696,Low,Med 150
588811,9001,70.51298551,Low,Area
