"eis","SCC","County","FIPS","Name","NAICS","State","Lat","Long","NH3","NOx","PM25","SO2","VOC","eff_height","ap3.assignment","easiur.assignment"
997011,39999999,"",4777,"ASARCO Mission Mine Complex",212234,"AZ",32.00179,-111.0566,0.42433,0,0,0,0,NA,NA,NA
1722311,30500205,"Multiple (portable facilities)",12777,"C.W. ROBERTS CONTRACTING, INC.",324121,"FL",NA,NA,0,2.27588,0.100032,2.40002,1.32415,0,"Low","Area"
1874311,30500205,"Multiple (portable facilities)",12777,"APAC-SOUTHEAST INC.",324121,"FL",NA,NA,0,0.314392,0.15319026,0.192335,0.13779,0,"Low","Area"
1876411,30500263,"Multiple (portable facilities)",12777,"GROUP III ASPHALT,INC.",324121,"FL",NA,NA,0,5.12988,0.363755,5.40969,2.98466,0,"Low","Area"
1969111,30500207,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,2.03057,0.0224424,1.222115,0.750032,0,"Low","Area"
1970711,30500205,"Multiple (portable facilities)",12777,"DAB CONSTRUCTORS, INC.",324121,"FL",NA,NA,0,2.698869,0.134817,0.310971,0.700318,0,"Low","Area"
2573711,39000699,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,3.707634,0.05477925,3.76763,2.085213,0,"Low","Area"
2574911,30500205,"Multiple (portable facilities)",12777,"APAC-SOUTHEAST, INC.",324121,"FL",NA,NA,0,3.30512,0.126456,3.48539,1.92298,0,"Low","Area"
2579411,20200201,"",21777,"Florida River Compression Facility, BP America",211111,"KY",37.15639,-107.77978,0,134.3,0,0,17.2,NA,NA,NA
2732511,30500263,"Multiple (portable facilities)",12777,"APAC MID-SOUTH, INC.",324121,"FL",NA,NA,0,0.84774,0.060112,0.893981,0.493231,0,"Low","Area"
2732811,30500205,"Multiple (portable facilities)",12777,"C W ROBERTS CONTRACTING INC",324121,"FL",NA,NA,0,7.21964,0.15960384,6.278557,3.525256,0,"Low","Area"
3524011,30500205,"Multiple (portable facilities)",12777,"C. W. ROBERTS CONTRACTING, INC.",324121,"FL",NA,NA,0,3.44326,0.0976776,3.63108,2.00335,NA,NA,NA
4227911,30500263,"Multiple (portable facilities)",12777,"APAC MID-SOUTH, INC.",324121,"FL",NA,NA,0,2.122455,0.314152,0.056202,0.30159,0,"Low","Area"
4358411,30500206,"Multiple (portable facilities)",12777,"APAC SOUTHEAST, INC.",324121,"FL",NA,NA,0,3.354892,0.08822197,3.012645,1.686972,0,"Low","Area"
4358511,30500205,"Multiple (portable facilities)",12777,"APAC SOUTHEAST, INC.",324121,"FL",NA,NA,0,3.17373,0.0593492,2.916894,1.629036,NA,NA,NA
4358711,30500205,"Multiple (portable facilities)",12777,"DUVAL ASPHALT PRODUCTS, INC.",324121,"FL",NA,NA,0,4.95035,0.50160022,7.92056,2.8802,0,"Low","Area"
4382511,30500257,"Multiple (portable facilities)",12777,"PEAVY & SON CONSTRUCTION CO INC",324121,"FL",NA,NA,0,2.19025,0.328537,0.286417,2.69569,0,"Low","Area"
4389111,30500201,"Multiple (portable facilities)",12777,"HALLEY ENGINEERING CONTRACTORS, INC.",324121,"FL",NA,NA,0,4.08638,0.3091348,5.19597,2.174353,NA,NA,NA
4434811,39000501,"Multiple (portable facilities)",12777,"ANDERSON COLUMBIA CO., INC.",324121,"FL",NA,NA,0,1.20164,0.02509145,0.424739,0.551638,0,"Low","Area"
5162411,30502006,"Multiple (portable facilities)",32777,"CINDERLITE TRUCKING, INC.",212321,"NV",NA,NA,0,0,0.0015796826,0,0,NA,NA,NA
5877711,30502002,"Multiple (portable facilities)",32777,"JIM WILKIN TRUCKING LLC",212321,"NV",NA,NA,0,0,0.0017743634,0,0,NA,NA,NA
5893911,30502005,"Multiple (portable facilities)",32777,"AGGREGATE INDUSTRIES SWR",212321,"NV",NA,NA,0,1.79567,0.5138894633,0.359134,1.857699,NA,NA,NA
5894011,30502006,"Multiple (portable facilities)",32777,"H E HUNEWILL CONSTRUCTION CO, INC",212321,"NV",NA,NA,0,0,0.0527994521,0,0,NA,NA,NA
6151811,20200102,"Multiple (portable facilities)",27777,"Intex Corp",212321,"MN",NA,NA,0.102746,21.3989,3.81443,1.40659,1.74672,0,"Low","Area"
6151911,20200401,"Multiple (portable facilities)",27777,"Commercial Asphalt Co - Plant 944",324121,"MN",NA,NA,0.00475,8.0454,1.09947,1.00943,9.03738,0,"Low","Area"
6168911,30504025,"Multiple (portable facilities)",27777,"County Line Construction - Nonmetallic",212321,"MN",NA,NA,0,0,0.642587,0,0,0,"Low","Area"
6174811,20200102,"Multiple (portable facilities)",27777,"Shakopee Gravel Inc - Nonmetallic",212312,"MN",NA,NA,0,2.73853,0.4437319,0.1768272,0.24957,0,"Low","Area"
