Sector,VA.2008,VA.2011,VA.2014,VA.2016
Gross domestic product,15604687,15840664,16899831,17659187
Private industries,13540591,13697390,14681841,15387507
"Agriculture, forestry, fishing, and hunting",180295,186395,210512,234231
Farms,148473,157496,180346,203271
Crop production,84707,99797,150289,150849
Animal production and aquaculture,64031,58193,44550,58176
"Forestry, fishing, and related activities",30863,28936,30145,31857
Mining,305545,320758,409998,423113
Oil and gas extraction,170607,181849,265609,378354
"Mining, except oil and gas",78892,75094,66731,62585
Support activities for mining,62507,65356,76183,32273
Utilities,250218,275960,264978,276664
"Electric power generation, transmission, and distribution",184983,207313,205046,218233
"Natural gas distribution and water, sewage and other systems",65647,69001,60077,58365
Construction,672105,538665,574753,618938
"Education, hospital, and health structures",72663,65273,66737,75737
Maintenance and repair construction,119918,101628,107397,112640
Office and commercial structures,82687,45442,44233,49149
Other residential construction,81035,87237,101346,116295
Other nonresidential structures,89130,61720,60676,61454
Power and communication structures,62371,51611,63796,66370
Single-family residential structures,98556,67402,70084,71494
Transportation structures and highways and streets,64249,58503,60858,66912
Manufacturing,2019113,1939833,2005835,1993078
Durable goods,1003593,1032939,1096694,1105284
Wood products,25318,25395,24050,27170
Nonmetallic mineral products,46759,40443,45446,45488
Primary metals,53799,56382,67282,77391
Iron and steel mills and manufacturing from purchased steel,31642,25399,33247,45592
Nonferrous metal production and processing and foundries,24701,30983,34254,34308
Fabricated metal products,151012,133366,138366,127402
Machinery,146517,150968,149143,122160
Agricultural implement manufacturing,12664,12107,15299,7738
Construction machinery manufacturing,13561,16412,11746,8186
Mining and oil and gas field machinery manufacturing,9305,11165,12592,7221
Other machinery,110854,111299,109546,99098
Computer and electronic products,195779,232050,258681,292686
Computer and peripheral equipment manufacturing,24307,21277,26364,30966
Communications equipment manufacturing,21798,25177,45179,53496
Semiconductor and other electronic component manufacturing,65017,90870,70195,80136
"Navigational, measuring, electromedical, and control instruments manufacturing",81769,90693,113455,125183
Other computer and electronic product manufacturing,4394,3777,3899,4114
