"eis","FIPS","eff_height","ap3.assignment","easiur.assignment"
208411,5107,35.3532977640383,"Low","Area"
209711,5115,38.8189047800581,"Low","Area"
210011,5115,82.5215075480796,"Low","Med 150"
210811,5119,242.718652258415,"Low","Tall 300"
210911,5119,54.6338793961987,"Low","Area"
212211,5121,179.472691134166,"Low","Med 150"
237311,5077,104.012238339198,"Low","Med 150"
237511,5079,78.1480210171007,"Low","Med 150"
237711,5083,126.994350063149,"Low","Med 150"
238311,5087,38.8189047800581,"Low","Area"
238511,5093,109.44797196202,"Low","Med 150"
262411,5131,42.8520939370419,"Low","Area"
265811,6013,83.6114707356196,"Low","Med 150"
353611,6013,322.551999487474,"Medium","Tall 300"
409111,6027,81.9275320914473,"Low","Med 150"
503211,6029,39.6583962161046,"Low","Area"
532511,13003,197.16903084347,"Low","Med 150"
532711,13089,38.3750551644197,"Low","Area"
532811,13089,58.3583631061054,"Low","Area"
532911,12127,42.8418714835241,"Low","Area"
533011,12035,84.4228240983927,"Low","Med 150"
533111,12007,80.2071623167501,"Low","Med 150"
533411,9001,16.7749374271927,"Low","Area"
533611,12099,253.921179706539,"Medium","Tall 300"
533711,12081,48.7815988439808,"Low","Area"
533811,12083,23.5831596522682,"Low","Area"
534011,10003,53.4679980540594,"Low","Area"
534111,12103,92.6060572070934,"Low","Med 150"
534211,13059,160.946494345023,"Low","Med 150"
534711,13285,56.5933767032664,"Low","Area"
534911,13063,35.4174212314624,"Low","Area"
535011,12001,366.89644232031,"Medium","Tall 300"
535211,12105,90.7637970135729,"Low","Med 150"
535411,12005,270.226951769,"Medium","Tall 300"
535511,12105,55.7052200681081,"Low","Area"
535711,12105,168.697008667304,"Low","Med 150"
535811,13245,98.4451485063037,"Low","Med 150"
535911,13293,223.333858835803,"Low","Med 150"
536011,13089,123.498654263151,"Low","Med 150"
536111,13121,159.463942139802,"Low","Med 150"
536211,13065,91.9247366877746,"Low","Med 150"
536311,13103,274.078310639274,"Medium","Tall 300"
536411,13063,0,"Low","Area"
536511,13063,63.1669224193136,"Low","Area"
536711,12105,21.9640458148791,"Low","Area"
536811,12001,269.248496407515,"Medium","Tall 300"
536911,12005,100.009941740648,"Low","Med 150"
537011,12011,22.4657108383359,"Low","Area"
537211,12105,109.526857956714,"Low","Med 150"
537311,10003,79.2135080341391,"Low","Med 150"
537411,12011,73.0424226720646,"Low","Area"
537611,12011,218.318929032629,"Low","Med 150"
537811,12081,70.1449708877542,"Low","Area"
537911,12081,560.170320143696,"Medium","Tall 300"
538111,12081,71.7397723269898,"Low","Area"
538511,12057,57.9867373156824,"Low","Area"
538611,12057,379.427112202439,"Medium","Tall 300"
538711,12011,91.1044569842562,"Low","Med 150"
538811,13189,44.6374980428924,"Low","Area"
538911,13215,118.180597076108,"Low","Med 150"
539311,13115,298.814017289618,"Medium","Tall 300"
539411,13115,66.641318751809,"Low","Area"
539711,2122,0,"Low","Area"
539811,2122,0,"Low","Area"
539911,2122,0,"Low","Area"
540111,2122,0,"Low","Area"
540511,2130,0,"Low","Area"
541311,2185,0,"Low","Area"
541411,2185,0,"Low","Area"
541511,2185,0,"Low","Area"
541611,2185,0,"Low","Area"
541711,2185,0,"Low","Area"
542511,2188,0,"Low","Area"
542611,2188,0,"Low","Area"
545311,4013,52.9384293032651,"Low","Area"
545911,4013,308.570103900717,"Medium","Tall 300"
546011,4013,299.757490723625,"Medium","Tall 300"
547311,4013,216.208280142861,"Low","Med 150"
552011,12105,282.264038673392,"Medium","Tall 300"
552111,12009,39.2864979969109,"Low","Area"
552311,9003,89.8558662470261,"Low","Med 150"
552411,9001,119.949229990695,"Low","Med 150"
552611,9011,520.57857125491,"Medium","Tall 300"
552711,9011,189.530146928553,"Low","Med 150"
552811,12069,169.099307010997,"Low","Med 150"
552911,13015,147.323188699291,"Low","Med 150"
553111,13179,176.217745734117,"Low","Med 150"
553211,13179,105.545798714814,"Low","Med 150"
553311,13015,165.447956460466,"Low","Med 150"
553411,13199,163.081458340092,"Low","Med 150"
553611,13139,61.1557239192073,"Low","Area"
553711,12105,136.003213527949,"Low","Med 150"
554011,12087,172.101566995116,"Low","Med 150"
554311,13245,0,"Low","Area"
554411,13127,156.057086617887,"Low","Med 150"
554511,13067,76.9687568607175,"Low","Med 150"
554611,13151,86.4799360044732,"Low","Med 150"
554711,13115,49.7200316858204,"Low","Area"
554911,12005,379.47862759388,"Medium","Tall 300"
555111,12057,119.237800134986,"Low","Med 150"
555211,12105,31.5083283533605,"Low","Area"
555311,13185,307.792948064834,"Medium","Tall 300"
555411,12099,46.602055225772,"Low","Area"
555511,9009,16.1050665625905,"Low","Area"
555711,9009,67.6836368914279,"Low","Area"
555811,13021,90.300948249972,"Low","Med 150"
556111,13275,44.784914655297,"Low","Area"
556211,13245,152.834618189503,"Low","Med 150"
556311,13313,58.0277182693784,"Low","Area"
556511,13313,76.1583728757918,"Low","Med 150"
556611,13305,372.022204792799,"Medium","Tall 300"
556711,13185,45.7457307921262,"Low","Area"
557011,13127,102.958157034581,"Low","Med 150"
557211,13313,86.7705938794595,"Low","Med 150"
557411,13233,47.4108074062977,"Low","Area"
557511,13073,75.965861808478,"Low","Med 150"
557611,12057,24.7798035021707,"Low","Area"
557811,12031,525.414361670892,"Medium","Tall 300"
557911,12031,181.840270636769,"Low","Med 150"
558011,12031,76.4853040507153,"Low","Med 150"
558111,12031,55.4823674124793,"Low","Area"
558211,12009,0,"Low","Area"
558411,12097,240.206198040449,"Low","Tall 300"
558511,12057,15.8450572910201,"Low","Area"
558611,12083,53.4742710136763,"Low","Area"
558711,12057,61.1676896775432,"Low","Area"
559211,16011,94.956312469759,"Low","Med 150"
559811,16077,188.293549181323,"Low","Med 150"
559911,15009,0,"Low","Area"
560011,1001,293.674729651097,"Medium","Tall 300"
560311,1003,40.7479424401894,"Low","Area"
560711,1003,32.9536251024492,"Low","Area"
561611,1005,141.357727417906,"Low","Med 150"
561711,1005,13.2253692607667,"Low","Area"
562111,1005,119.84474717356,"Low","Med 150"
562411,1007,31.9117889329659,"Low","Area"
565311,41019,96.5605423465838,"Low","Med 150"
566611,41021,158.928272261564,"Low","Med 150"
587911,9005,41.3698245290474,"Low","Area"
588111,10001,271.707580075605,"Medium","Tall 300"
588311,10003,404.914164484828,"Medium","Tall 300"
588511,12049,539.25885172478,"Medium","Tall 300"
588611,12011,12.9264126687349,"Low","Area"
588711,9003,201.817069611976,"Low","Med 150"
588811,9001,70.5129855066645,"Low","Area"
588911,10003,34.9617425934959,"Low","Area"
589011,12005,85.1399781815959,"Low","Med 150"
589211,10003,38.8657804263017,"Low","Area"
589411,11001,0,"Low","Area"
589611,9001,23.3066160968912,"Low","Area"
589711,9003,156.575730600105,"Low","Med 150"
589911,9009,106.582419441903,"Low","Med 150"
590011,9009,365.507203637118,"Medium","Tall 300"
590111,9011,284.313356315578,"Medium","Tall 300"
590311,12009,55.4863744877456,"Low","Area"
590411,12009,248.522982930222,"Low","Tall 300"
590511,12009,477.547072688996,"Medium","Tall 300"
590711,12057,132.08262584857,"Low","Med 150"
590811,12009,188.578502236423,"Low","Med 150"
590911,12031,18.6565355327414,"Low","Area"
591011,12009,78.4498773036958,"Low","Med 150"
591111,12009,529.602029016458,"Medium","Tall 300"
591311,12009,27.7726062698988,"Low","Area"
591611,12011,382.793159515337,"Medium","Tall 300"
591711,12011,442.60144227101,"Medium","Tall 300"
598311,8014,30.2779168510787,"Low","Area"
598411,8014,60.8958162767448,"Low","Area"
598911,8014,37.8416416060499,"Low","Area"
609311,8013,42.5055279590862,"Low","Area"
610211,8013,53.072542692157,"Low","Area"
639711,12031,220.185046795842,"Low","Med 150"
639811,12086,63.7732563791943,"Low","Area"
639911,12086,39.7970838301325,"Low","Area"
640011,12086,29.8198775630524,"Low","Area"
640111,12031,173.365321336851,"Low","Med 150"
640211,12031,464.663281723401,"Medium","Tall 300"
640311,10003,315.487351343711,"Medium","Tall 300"
640411,12031,46.8314998617236,"Low","Area"
640511,12057,44.9198117756147,"Low","Area"
640611,12017,426.892183939002,"Medium","Tall 300"
640711,12057,58.7544946970907,"Low","Area"
640811,12057,175.984651040206,"Low","Med 150"
640911,10005,473.124135449804,"Medium","Tall 300"
641011,12103,90.369248622645,"Low","Med 150"
641211,12031,464.702374331358,"Medium","Tall 300"
641311,12031,68.2598568333641,"Low","Area"
641411,12033,131.933710816363,"Low","Med 150"
641511,12086,89.981957336748,"Low","Med 150"
641611,12086,60.1460687197013,"Low","Area"
641711,12086,110.795585967961,"Low","Med 150"
641811,12069,87.8660821296183,"Low","Med 150"
641911,12069,125.520302103002,"Low","Med 150"
642011,12069,67.2286807174778,"Low","Area"
642111,12057,74.4152830857743,"Low","Area"
642411,12009,35.1724997203021,"Low","Area"
642511,9001,163.555335979183,"Low","Med 150"
642611,9013,107.642518351262,"Low","Med 150"
642811,12121,234.448132523847,"Low","Tall 300"
643111,12105,632.211341056144,"Medium","Tall 300"
645511,8031,49.4630688728188,"Low","Area"
658111,9009,41.0810585611852,"Low","Area"
658611,5057,58.1779087938451,"Low","Area"
658911,5059,201.621798065524,"Low","Med 150"
660311,5067,49.3892614230371,"Low","Area"
660411,5069,29.5645235866906,"Low","Area"
660911,2013,0,"Low","Area"
661311,2016,0,"Low","Area"
661411,2016,0,"Low","Area"
661511,2016,0,"Low","Area"
661611,2016,0,"Low","Area"
662011,2020,0,"Low","Area"
662111,2020,0,"Low","Area"
662211,2020,0,"Low","Area"
678611,2070,0,"Low","Area"
678711,2090,0,"Low","Area"
678911,2090,0,"Low","Area"
680311,2110,0,"Low","Area"
680611,2122,0,"Low","Area"
680711,2122,0,"Low","Area"
680811,2122,0,"Low","Area"
680911,2122,0,"Low","Area"
681111,2122,0,"Low","Area"
681211,2122,0,"Low","Area"
681311,2122,0,"Low","Area"
681411,2122,0,"Low","Area"
696011,40143,36.9464115036333,"Low","Area"
700011,8031,0,"Low","Area"
701211,8031,0,"Low","Area"
706411,6071,82.5659138066451,"Low","Med 150"
714611,12057,28.5480628063515,"Low","Area"
714811,12105,12.2002027511265,"Low","Area"
714911,12105,95.1380120230264,"Low","Med 150"
715011,12057,50.6622725241088,"Low","Area"
715111,12073,227.506516854945,"Low","Tall 300"
715311,10003,108.722792739796,"Low","Med 150"
715611,9003,208.647746809266,"Low","Med 150"
715711,9007,557.272348055728,"Medium","Tall 300"
715811,12086,65.9839441537398,"Low","Area"
716011,12053,337.474463023571,"Medium","Tall 300"
716211,12057,42.6723994502777,"Low","Area"
716311,12057,169.95655870893,"Low","Med 150"
716411,12057,170.113384210786,"Low","Med 150"
716511,12057,74.0069020396413,"Low","Area"
716711,12055,23.6871437987872,"Low","Area"
716911,12011,218.318929032629,"Low","Med 150"
717111,12101,79.2743521351208,"Low","Med 150"
717211,12101,500.467566219041,"Medium","Tall 300"
717311,12101,202.992099183785,"Low","Med 150"
717611,12085,367.81741720386,"Medium","Tall 300"
717711,12105,189.467299474198,"Low","Med 150"
717911,12105,95.4836249657184,"Low","Med 150"
727911,8005,54.6789828424467,"Low","Area"
729311,8005,17.3460859797013,"Low","Area"
734311,40149,145.286467092602,"Low","Med 150"
734811,40151,32.2381107348495,"Low","Area"
735611,40153,36.9464115036333,"Low","Area"
743011,6085,256.037197893389,"Medium","Tall 300"
750711,12033,22.2928892749671,"Low","Area"
750911,12111,93.7230916714746,"Low","Med 150"
751111,12086,41.1239614465705,"Low","Area"
751411,12033,211.713795183369,"Low","Med 150"
751511,12085,562.853815551632,"Medium","Tall 300"
751611,9015,167.308724671546,"Low","Med 150"
751811,12103,289.024866050772,"Medium","Tall 300"
751911,12105,122.562892148013,"Low","Med 150"
752011,12105,375.683142524251,"Medium","Tall 300"
752311,12113,236.893522923499,"Low","Tall 300"
752411,12123,127.331213539664,"Low","Med 150"
752511,12095,110.256869785167,"Low","Med 150"
752611,12095,34.7408834282977,"Low","Area"
752711,12033,446.923582448404,"Medium","Tall 300"
752811,12033,83.3909915346545,"Low","Med 150"
753011,9003,74.9876842451463,"Low","Area"
753411,12095,50.8032637135516,"Low","Area"
753511,12081,0,"Low","Area"
753611,12123,123.979542889852,"Low","Med 150"
753711,12089,328.22449063775,"Medium","Tall 300"
753811,10001,299.008263687637,"Medium","Tall 300"
754311,9001,447.588552615868,"Medium","Tall 300"
754411,9001,247.855751058959,"Low","Tall 300"
754511,9001,283.688248055553,"Medium","Tall 300"
754611,9011,211.076068944924,"Low","Med 150"
769311,10003,38.020547458252,"Low","Area"
769411,12033,196.934987561777,"Low","Med 150"
769511,12033,143.854249452588,"Low","Med 150"
769611,12039,236.893522923499,"Low","Tall 300"
769711,12047,173.762440623704,"Low","Med 150"
769811,12049,271.819749260078,"Medium","Tall 300"
769911,12051,181.113809856902,"Low","Med 150"
770111,12031,38.3315042161001,"Low","Area"
770211,12031,74.6653763700514,"Low","Area"
776911,8001,47.8341110860936,"Low","Area"
778211,8013,303.618940760716,"Medium","Tall 300"
791211,41009,120.847509890193,"Low","Med 150"
791911,8013,81.5831344128048,"Low","Med 150"
792311,8013,52.2712922566908,"Low","Area"
792411,8013,119.018577232205,"Low","Med 150"
792511,8013,39.1868881110367,"Low","Area"
793211,8013,38.2233123559546,"Low","Area"
794211,8013,46.9883348853511,"Low","Area"
794411,8013,34.013202415549,"Low","Area"
811611,8031,52.0309810991018,"Low","Area"
812511,8031,72.2233964286602,"Low","Area"
826311,41017,66.2065039181076,"Low","Area"
827311,12031,63.7835566465303,"Low","Area"
827411,12031,64.2833605960342,"Low","Area"
827511,12031,65.1531228066607,"Low","Area"
827611,12031,175.647193411372,"Low","Med 150"
827711,12057,12.4219437467374,"Low","Area"
827811,10003,426.044739527648,"Medium","Tall 300"
827911,10003,149.843346049914,"Low","Med 150"
842211,10003,171.009708346256,"Low","Med 150"
842311,10003,143.608904560728,"Low","Med 150"
842411,12107,108.338616741737,"Low","Med 150"
842511,12107,313.378673487795,"Medium","Tall 300"
842811,12031,333.5834455313,"Medium","Tall 300"
842911,12031,0,"Low","Area"
843011,12103,223.729983703218,"Low","Med 150"
843211,9009,13.7322060423661,"Low","Area"
843311,12051,116.313265546211,"Low","Med 150"
843511,12011,23.7676590794069,"Low","Area"
843911,9009,118.599601389726,"Low","Med 150"
844411,9009,34.2300772093817,"Low","Area"
844511,12031,97.5751155000932,"Low","Med 150"
844611,12111,75.4944290315354,"Low","Med 150"
844711,9015,280.543423429521,"Medium","Tall 300"
844811,9015,62.4892572830665,"Low","Area"
844911,9003,261.823231642656,"Medium","Tall 300"
845011,12123,49.8609603871172,"Low","Area"
845111,12125,84.4170584954663,"Low","Med 150"
845211,12127,312.415667139841,"Medium","Tall 300"
845311,12127,39.5930887333441,"Low","Area"
845411,12095,388.078637766168,"Medium","Tall 300"
845511,12095,187.377051075973,"Low","Med 150"
845711,12095,36.7204588279951,"Low","Area"
845811,12089,186.067078605908,"Low","Med 150"
