SCC,data.category.text,scc.level.one.text,scc.level.three.text,scc.level.two.text,sector.text,tier.1.description.text,tier.1.2.3.text,tier.2.description.text,naics.sector,naics.subsector,naics.summary,naics.industry
10100101,Point,External Combustion Boilers,"Anthracite Coal, Pulverized",Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|03 Anthracite & Lignite,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100102,Point,External Combustion Boilers,Anthracite Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|03 Anthracite & Lignite,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100201,Point,External Combustion Boilers,"Bituminous Coal, Pulverized",Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100202,Point,External Combustion Boilers,"Bituminous Coal, Pulverized",Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100203,Point,External Combustion Boilers,Bituminous Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100204,Point,External Combustion Boilers,Bituminous Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100205,Point,External Combustion Boilers,Bituminous Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100211,Point,External Combustion Boilers,Bituminous Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100212,Point,External Combustion Boilers,"Bituminous Coal, Pulverized",Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
10100215,Point,External Combustion Boilers,Bituminous Coal,Electric Generation,Fuel Comb - Electric Generation - Coal,Fuel Comb. Elec. Util.,01 Fuel Comb. Elec. Util.|01 Coal|01 Bituminous,Coal,Utilities,Utilities,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution"
